calendar_id	calendar_download_link	calendar_add_link
thursday-1a	https://www.edinburgh.gov.uk/downloads/file/30264/thursday-1a-kerbside-calendar	https://calendar.google.com/calendar/ical/28bc8ee6b1c70b034fd041cb09b69f31eea8330849ddaf02088527f8a250f720%40group.calendar.google.com/public/basic.ics
friday-2	https://www.edinburgh.gov.uk/downloads/file/30269/friday-2-kerbside-calendar	https://calendar.google.com/calendar/ical/d3cc6b480035d5b24ba3172ef52c746b73a126bc4aef9565537f1e3219c3bf2b%40group.calendar.google.com/public/basic.ics
tuesday-2	https://www.edinburgh.gov.uk/downloads/file/30258/tuesday-2-kerbside-calendar	https://calendar.google.com/calendar/ical/52b2eee39771d145ed47997a61f02e6bab0af266d0ec7e08dfcdc9413dfe4ed8%40group.calendar.google.com/public/basic.ics
friday-1	https://www.edinburgh.gov.uk/downloads/file/30267/friday-1-kerbside-calendar	https://calendar.google.com/calendar/ical/b5d54bf6d272eb305dcaa43c70f77fd4dc790ca8f1403943333997650a76e453%40group.calendar.google.com/public/basic.ics
wednesday-2	https://www.edinburgh.gov.uk/downloads/file/30262/wednesday-2-kerbside-calendar	https://calendar.google.com/calendar/ical/7165ec8d3cfbc74f88cc5f0cc643c2627e69e0c424c1da41b6675e11dbd5372e%40group.calendar.google.com/public/basic.ics
thursday-1	https://www.edinburgh.gov.uk/downloads/file/30263/thursday-1-kerbside-calendar	https://calendar.google.com/calendar/ical/10cc9392123c60c6e646694c591c7a1037faffd86e8a306c9aac62765d6101a9%40group.calendar.google.com/public/basic.ics
tuesday-1	https://www.edinburgh.gov.uk/downloads/file/30257/tuesday-1-kerbside-calendar	https://calendar.google.com/calendar/ical/05fe9b1ae91349d247e78aedb3d4836b85b3eb907efd41298ab6b9efb314ff00%40group.calendar.google.com/public/basic.ics
wednesday-1a	https://www.edinburgh.gov.uk/downloads/file/30261/wednesday-1a-kerbside-calendar	https://calendar.google.com/calendar/ical/b9376041b2fa361e064b6d6672ceabfd8b29db492e0ed94ab0677592671a9984%40group.calendar.google.com/public/basic.ics
friday-1a	https://www.edinburgh.gov.uk/downloads/file/30268/friday-1a-kerbside-calendar	https://calendar.google.com/calendar/ical/331bf39dbb863a1f90a8458ea411073de2e89991d67e17d09759fd4f45dc6dda%40group.calendar.google.com/public/basic.ics
thursday-2	https://www.edinburgh.gov.uk/downloads/file/30265/thursday-2-kerbside-calendar	https://calendar.google.com/calendar/ical/f035abb561f8ded218cbb8acf3ee0ff4672ae69164ff70be6e1cc316e0f79d89%40group.calendar.google.com/public/basic.ics
wednesday-1	https://www.edinburgh.gov.uk/downloads/file/30260/wednesday-1-kerbside-calendar	https://calendar.google.com/calendar/ical/176a70eb67b6408b3a50f36eba9a385af729f9801a73dbd56b6fd9115b89f8d5%40group.calendar.google.com/public/basic.ics
tuesday-1a	https://www.edinburgh.gov.uk/downloads/file/30259/tuesday-1a-kerbside-calendar	https://calendar.google.com/calendar/ical/67da76fba449e507e9556b333073c97fd9f987fc51917c81c295047132901851%40group.calendar.google.com/public/basic.ics
monday	https://www.edinburgh.gov.uk/downloads/file/30256/monday-kerbside-calendar	https://calendar.google.com/calendar/ical/ecaa4bde3007e6b5c36e75b7808ff2343db109c0ec3a099b2b6961c9c032df06%40group.calendar.google.com/public/basic.ics
